Team,Conf,G,W,Adjoe,Adjde,Barthag,Efg_O,Efg_D,Tor,Tord,Orb,Drb,Ftr,Ftrd,2P_O,2P_D,3P_O,3P_D,Adj_T,Wab,Seed,Year,TeamID,FirstD1Season,LastD1Season,Predicted_Round,TeamRight,Champion %,Runner Up %,Final Four %,Elite 8 %,Sweet 16 %,Round 32 %,Round 64 %
South Carolina,26,33,26,114.4,98.9,0.842,50.8,48.0,15.5,14.9,33.1,28.0,31.8,30.8,51.1,46.8,33.5,33.6,63.0,4.7,6,2024,1376,1985,2024,6.0,South Carolina,0.0027254765755332895,0.02187991947554119,0.031556535718861745,0.10246642205536291,0.22051725135842584,0.3193281648333825,0.30152622998289236
S Dakota St,28,31,22,107.6,104.4,0.5836,55.3,50.8,16.4,16.5,24.4,25.3,30.4,27.4,55.9,49.0,36.2,35.2,67.9,-7.4,15,2024,1355,2006,2024,7.0,S Dakota St,0.00047058823529411766,0.0,0.0014194390084801044,0.0040150672938862935,0.06675957227425834,0.08645503564132011,0.8408802975467609
Stetson,4,31,22,108.3,114.0,0.3559,53.4,52.0,15.8,13.5,27.5,31.2,31.7,25.9,52.5,52.2,36.5,34.5,66.0,-6.8,16,2024,1391,1985,2024,7.0,Stetson,0.0,0.0029632107023411375,0.007615614460805279,0.026955910546733308,0.1362329252080094,0.11057943764687084,0.7156529014352402
TCU,7,33,21,114.5,97.1,0.869,51.9,50.3,17.9,20.8,35.5,28.6,35.1,35.7,51.2,50.9,35.6,32.8,69.9,1.3,9,2024,1395,1985,2024,7.0,TCU,0.0024529074577140314,0.0038409463562310243,0.009166341815713066,0.04461508282013172,0.08895828352406936,0.4242916401708526,0.42667479785528806
Tennessee,26,32,24,115.6,91.2,0.9382,51.5,45.4,14.6,18.9,32.4,28.6,34.3,35.8,51.6,44.3,34.2,31.4,69.2,5.8,2,2024,1397,1985,2024,4.0,Tennessee,0.008019792578417801,0.04160439426584767,0.055539453421146405,0.2777914266671377,0.2353679728560696,0.2525697366881242,0.12910722352325713
Texas,7,32,20,119.0,98.3,0.9006,53.7,49.0,16.6,18.6,30.5,30.0,30.4,35.0,53.4,47.4,36.1,34.8,67.2,1.2,7,2024,1400,1985,2024,6.0,Texas,0.0034381946558105546,0.004114664349999619,0.02364294566889376,0.0650043200823151,0.15942467368749302,0.4263376979168247,0.3180375036386631
Texas A&M,26,34,20,115.0,98.9,0.8499,45.4,50.1,14.2,16.9,41.9,28.0,38.2,31.2,47.0,49.5,28.4,33.9,65.6,0.25,9,2024,1401,1985,2024,7.0,Texas A&M,0.009103637796250943,0.038819044797742695,0.036969252352861234,0.0642165216335148,0.13663545750213446,0.34050007297905854,0.37375601293843697
Texas Tech,7,33,23,117.5,98.4,0.8846,52.8,49.1,16.5,17.0,30.2,30.3,34.6,26.6,51.5,49.6,36.5,32.1,66.4,3.4,6,2024,1403,1985,2024,6.0,Texas Tech,0.0016104879626631173,0.003271137144953693,0.02057355245852504,0.05647057267051901,0.20880155298814695,0.4550303514863645,0.2542423452888278
UAB,3,33,23,112.7,106.3,0.6634,50.1,51.0,16.7,16.1,35.3,31.0,40.5,31.4,50.4,50.2,33.1,35.0,67.7,-2.7,12,2024,1412,1985,2024,7.0,UAB,0.0,0.00022377622377622378,0.009723574921495795,0.045056961021325906,0.04732796109980225,0.17412688677055985,0.7235408399630401
Utah St,19,31,27,114.1,100.4,0.8144,54.1,49.6,15.7,16.4,28.5,25.4,40.0,30.4,57.1,53.1,32.1,29.0,68.5,3.3,8,2024,1429,1985,2024,7.0,Utah St,0.0012487429406990397,0.008901268031944262,0.023344009818894337,0.09810521885755474,0.08492092240645485,0.3462107591307592,0.4372690788136926
Vermont,31,32,28,104.5,98.7,0.6593,51.8,46.7,13.8,15.1,22.4,23.3,29.7,25.9,53.1,46.4,33.5,31.5,63.3,-1.2,13,2024,1436,1985,2024,7.0,Vermont,0.0,0.01968042391752541,0.011262910975697416,0.019682554246885874,0.09809801185162056,0.17895745922656697,0.6723186397817034
Virginia,1,33,23,104.6,92.0,0.8147,49.3,46.2,13.2,19.3,26.0,28.1,25.1,25.7,46.8,46.6,36.3,30.4,60.0,1.2,10,2024,1438,1985,2024,7.0,Virginia,0.0034579044721479006,0.01319540312492505,0.04367540141203827,0.033722040095628354,0.11014350331229404,0.33581521038678375,0.45999053719618216
Wagner,20,29,16,95.0,105.0,0.2399,44.6,48.4,15.9,17.0,29.5,27.0,26.8,29.9,42.8,50.9,31.6,29.9,61.3,-11.7,16,2024,1447,1985,2024,7.0,Wagner,0.0037477000740008173,0.001176068376068376,0.010588157418541112,0.03492907972069571,0.1116716670802951,0.19600137903004436,0.6418859483003548
Washington St,22,33,24,112.8,96.6,0.8556,52.1,47.3,16.1,15.9,32.9,24.9,31.7,32.7,52.6,46.9,34.0,32.0,64.9,1.9,7,2024,1450,1985,2024,7.0,Washington St,0.0,0.01031294298624097,0.014551799732104152,0.05221668946142348,0.1124899043465031,0.3963719800939532,0.4140566833797753
WKU,12,30,22,105.2,101.8,0.5938,51.9,48.3,18.3,18.6,28.5,26.7,32.9,33.4,52.1,48.3,34.4,32.2,75.1,-6.6,15,2024,1443,1985,2024,7.0,WKU,0.0,0.008345224088201738,0.0007999999999999999,0.008539971743633053,0.023893772335913575,0.04894269233951424,0.9094783394927369
Wisconsin,6,35,22,119.8,98.8,0.9018,52.4,52.2,14.6,16.9,30.5,24.5,33.5,33.2,52.6,50.4,34.8,37.1,65.0,3.3,5,2024,1458,1985,2024,6.0,Wisconsin,0.0024099173651915217,0.027146567112784733,0.030517735570043475,0.12103485822069651,0.2666346482068019,0.28891131491336425,0.2633449586111185
Yale,14,29,22,109.8,100.1,0.7437,52.3,49.7,14.1,16.0,28.4,24.0,26.9,29.0,52.5,48.8,34.6,34.0,64.6,-2.5,13,2024,1463,1985,2024,7.0,Yale,0.004891824242515229,0.008232938123152712,0.0034565466644512198,0.03924332573796086,0.1081638748403395,0.23167966864377845,0.6043318217478021
